Date,Name,Year,Letterboxd URI,Rating
2023-06-06,Wild Tales,2014,https://boxd.it/7UmK,4
2023-06-07,Trainspotting,1996,https://boxd.it/29XY,4
2023-06-11,The Game,1997,https://boxd.it/26vC,3.5
2023-06-11,"The Gangster, the Cop, the Devil",2019,https://boxd.it/lnuk,3
2023-06-13,Predestination,2014,https://boxd.it/6bJM,3.5
2023-06-15,Frances Ha,2012,https://boxd.it/41Xg,3.5
2023-06-20,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2023-06-21,Nebraska,2013,https://boxd.it/4exq,4
2023-06-22,After Yang,2021,https://boxd.it/lx5a,3.5
2023-06-24,Por Thozhil,2023,https://boxd.it/GbJE,3.5
2023-06-25,All Quiet on the Western Front,2022,https://boxd.it/H08,4
2023-06-26,The Thing,1982,https://boxd.it/294O,4.5
2023-06-28,Vettaiyaadu Vilaiyaadu,2006,https://boxd.it/6mw,3.5
2023-07-04,Requiem for a Dream,2000,https://boxd.it/29VI,4
2023-07-05,Coherence,2013,https://boxd.it/6xza,3
2023-07-06,Timecrimes,2007,https://boxd.it/1OGM,3.5
2023-07-09,Good Night,2023,https://boxd.it/FgZA,3
2023-07-09,The Theory of Everything,2014,https://boxd.it/7YtA,3.5
2023-07-09,Design for Living,1933,https://boxd.it/2FJE,3.5
2023-07-10,2018,2023,https://boxd.it/wKhA,3.5
2023-07-11,Battleship,2012,https://boxd.it/QZ0,2.5
2023-07-12,Naked,1993,https://boxd.it/1BT4,4
2023-07-13,Happening,2021,https://boxd.it/tRts,4
2023-07-14,Kadhalum Kadanthu Pogum,2016,https://boxd.it/dvpw,3.5
2023-07-15,Back to the Future,1985,https://boxd.it/2b8e,4
2023-07-16,The Edge of Seventeen,2016,https://boxd.it/d5nu,3.5
2023-07-16,One Fine Morning,2022,https://boxd.it/s4Ta,3.5
2023-07-18,Interstellar,2014,https://boxd.it/4VZ8,4
2023-07-20,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2023-07-21,Inception,2010,https://boxd.it/1skk,3.5
2023-07-22,Yeh Jawaani Hai Deewani,2013,https://boxd.it/5Cmo,3
2023-07-23,About Elly,2009,https://boxd.it/18Ry,4
2023-07-24,Locke,2013,https://boxd.it/6hHC,3.5
2023-07-25,Holy Spider,2022,https://boxd.it/xBn2,3.5
2023-08-05,Witness,1985,https://boxd.it/1Z4O,3.5
2023-08-07,Never Let Me Go,2010,https://boxd.it/Xw0,3.5
2023-08-12,Maaveeran,2023,https://boxd.it/Bktq,3
2023-08-13,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,3.5
2023-08-13,Boiling Point,2021,https://boxd.it/uo2u,3.5
2023-08-14,Prisoners,2013,https://boxd.it/4E5i,4
2023-08-14,One Day,2011,https://boxd.it/Asu,3
2023-08-15,Children of Men,2006,https://boxd.it/1Y2i,4
2023-08-15,Little Women,2019,https://boxd.it/aSVk,4
2023-08-16,Batman Begins,2005,https://boxd.it/2aIg,3.5
2023-08-26,Kaakha Kaakha,2003,https://boxd.it/aQvk,3
2023-08-26,Jailer,2023,https://boxd.it/zkA8,2.5
2023-08-27,The Dark Knight,2008,https://boxd.it/2b0k,4
2023-08-29,Rush,2013,https://boxd.it/3lyS,3.5
2023-09-14,Barbie,2023,https://boxd.it/bCLK,3.5
2023-10-02,Cure,1997,https://boxd.it/1blA,4
2023-10-02,Sapta Sagaradaache Ello – Side A,2023,https://boxd.it/IhOY,3.5
2023-10-02,RDX: Robert Dony Xavier,2023,https://boxd.it/BHtS,3
2023-10-06,Hacksaw Ridge,2016,https://boxd.it/azew,3.5
2023-10-07,Demolition,2015,https://boxd.it/9GuY,3.5
2023-10-08,OMG 2,2023,https://boxd.it/xz6S,3
2023-10-08,Reservoir Dogs,1992,https://boxd.it/2agc,4
2023-10-10,"Oslo, August 31st",2011,https://boxd.it/2xQC,4
2023-10-11,The Prestige,2006,https://boxd.it/293w,4
2023-10-14,Mark Antony,2023,https://boxd.it/yJKA,2.5
2023-10-14,First Man,2018,https://boxd.it/cPym,3.5
2023-10-15,Apocalypse Now,1979,https://boxd.it/6ZS,4
2023-10-23,Leo,2023,https://boxd.it/zOWS,3
2023-10-26,Soodhu Kavvum,2013,https://boxd.it/5IRi,4
2023-10-28,Pebbles,2021,https://boxd.it/tgko,4
2023-10-29,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
2023-11-18,Jigarthanda DoubleX,2023,https://boxd.it/C4xI,3.5
2023-12-25,Maattrraan,2012,https://boxd.it/4tIe,3
2023-12-25,Ko,2011,https://boxd.it/6p6,3.5
2023-12-25,Ghilli,2004,https://boxd.it/6qe,3.5
2023-12-28,Strange Days,1995,https://boxd.it/2aGO,3.5
2023-12-28,Chithha,2023,https://boxd.it/GbIc,3.5
2024-01-02,Martha Marcy May Marlene,2011,https://boxd.it/CJs,3.5
2024-01-04,12th Fail,2023,https://boxd.it/I1sM,3.5
2024-01-06,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3.5
2024-01-06,Three of Us,2022,https://boxd.it/DQmq,3.5
2024-01-07,Animal,2023,https://boxd.it/toAu,2.5
2024-01-08,Hi Nanna,2023,https://boxd.it/Eqsa,3
2024-01-11,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3
2024-01-13,Merry Christmas,2024,https://boxd.it/xCn8,3.5
2024-01-14,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2024-01-15,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.5
2024-01-15,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3.5
2024-01-15,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,3
2024-01-15,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,3.5
2024-01-15,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3.5
2024-01-16,Bandit Queen,1994,https://boxd.it/1NoC,3.5
2024-01-20,Joe,2023,https://boxd.it/JQDe,2.5
2024-01-20,May December,2023,https://boxd.it/vEE2,4
