source,date,year,title,letterboxd_uri,rating,rewatch,review,tags,watched_date,content,comment
ratings,2023-01-13,2023,Searching,https://boxd.it/hDPg,3.5,,,,,,
ratings,2023-01-13,2023,Kiss Kiss Bang Bang,https://boxd.it/23c8,4,,,,,,
ratings,2023-01-13,2023,Get Out,https://boxd.it/eOCm,3.5,,,,,,
diary,2023-01-14,2023,Death at a Funeral,https://boxd.it/3Hi5AF,3.5,,,,2023-01-13,,
diary,2023-01-14,2023,28 Days Later,https://boxd.it/3Hkoal,4,,,,2023-01-13,,
diary,2023-01-14,2023,Nitham Oru Vaanam,https://boxd.it/3HB2vF,3,,,,2023-01-14,,
ratings,2023-01-14,2023,Death at a Funeral,https://boxd.it/27dO,3.5,,,,,,
ratings,2023-01-14,2023,28 Days Later,https://boxd.it/2aXU,4,,,,,,
ratings,2023-01-14,2023,Nitham Oru Vaanam,https://boxd.it/lchO,3,,,,,,
diary,2023-01-15,2023,Polytechnique,https://boxd.it/3HXshD,3.5,,,,2023-01-15,,
diary,2023-01-15,2023,Seven Psychopaths,https://boxd.it/3HZk7T,4,,,,2023-01-15,,
ratings,2023-01-15,2023,Polytechnique,https://boxd.it/1AMG,3.5,,,,,,
ratings,2023-01-15,2023,Seven Psychopaths,https://boxd.it/34PW,4,,,,,,
diary,2023-01-16,2023,RRR,https://boxd.it/3I1Ggd,3,,,,2023-01-15,,
ratings,2023-01-16,2023,RRR,https://boxd.it/ljDs,3,,,,,,
diary,2023-01-18,2023,Vikram,https://boxd.it/3IKL7l,3.5,Yes,,,2023-01-17,,
ratings,2023-01-18,2023,Vikram,https://boxd.it/rUJa,3.5,,,,,,
diary,2023-01-19,2023,A Snake of June,https://boxd.it/3J5SGz,3,,,,2023-01-18,,
ratings,2023-01-19,2023,A Snake of June,https://boxd.it/1fuQ,3,,,,,,
diary,2023-01-20,2023,After Hours,https://boxd.it/3JnPhH,4,,,,2023-01-19,,
ratings,2023-01-20,2023,After Hours,https://boxd.it/1VfS,4,,,,,,
diary,2023-01-21,2023,The Big Lebowski,https://boxd.it/3JElDH,4,,,,2023-01-20,,
diary,2023-01-21,2023,Scarface,https://boxd.it/3JRTrV,3.5,,,,2023-01-21,,
ratings,2023-01-21,2023,The Big Lebowski,https://boxd.it/2b6C,4,,,,,,
ratings,2023-01-21,2023,Scarface,https://boxd.it/2b7g,3.5,,,,,,
diary,2023-01-22,2023,Alien,https://boxd.it/3Kc7jV,3.5,,,,2023-01-22,,
diary,2023-01-22,2023,Before Sunset,https://boxd.it/3KdLE7,3,,,,2023-01-22,,
ratings,2023-01-22,2023,Alien,https://boxd.it/2awY,3.5,,,,,,
ratings,2023-01-22,2023,Before Sunset,https://boxd.it/2bcg,3,,,,,,
