Date,Name,Year,Letterboxd URI
2022-12-05,Singin' in the Rain,1952,https://boxd.it/29oY
2022-12-05,Pather Panchali,1955,https://boxd.it/22yC
2022-12-05,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy
2022-12-05,TÁR,2022,https://boxd.it/uNIA
2022-12-11,The World Is Yours,2018,https://boxd.it/iehq
2022-12-11,Athena,2022,https://boxd.it/waii
2022-12-11,EO,2022,https://boxd.it/txhc
2022-12-11,The Departure,1967,https://boxd.it/4qCW
2022-12-11,Moving,1993,https://boxd.it/3RcO
2022-12-14,Hustle,2022,https://boxd.it/qpig
2022-12-14,Over the Edge,1979,https://boxd.it/1yC0
2022-12-14,Heartbreakers,1984,https://boxd.it/3dsM
2022-12-14,Hit the Road,2021,https://boxd.it/vBVO
2022-12-15,Symbiopsychotaxiplasm: Take One,1968,https://boxd.it/R6q
2022-12-15,Cinema Paradiso,1988,https://boxd.it/1UlA
2022-12-15,The Company of Strangers,1990,https://boxd.it/44PO
2022-12-15,Stand by Me,1986,https://boxd.it/2aOe
2022-12-15,Pride,2014,https://boxd.it/6TwM
2022-12-15,Moonrise Kingdom,2012,https://boxd.it/2Wng
2022-12-15,My Cousin Vinny,1992,https://boxd.it/1WpO
2022-12-15,Paterson,2016,https://boxd.it/cRk2
2022-12-15,In the Realm of the Senses,1976,https://boxd.it/22qS
2022-12-15,Happiness,1998,https://boxd.it/1VEe
2022-12-15,Martyrs,2008,https://boxd.it/1Yqu
2022-12-15,Exotica,1994,https://boxd.it/1DXW
2022-12-15,Ossos,1997,https://boxd.it/rdg
2022-12-15,3 Women,1977,https://boxd.it/YPs
2022-12-15,From the East,1993,https://boxd.it/3ywU
2022-12-18,Wonder Boys,2000,https://boxd.it/1USE
2022-12-19,The Color Purple,1985,https://boxd.it/29oO
2022-12-20,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2022-12-20,The Green Ray,1986,https://boxd.it/t8W
2022-12-20,Shiva Baby,2020,https://boxd.it/oIv0
2022-12-21,Fargo,1996,https://boxd.it/2aHM
2022-12-22,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2022-12-22,Safe,1995,https://boxd.it/1gKU
2022-12-22,Under the Skin,2013,https://boxd.it/3mDa
2022-12-22,Eighth Grade,2018,https://boxd.it/hDMG
2022-12-22,Gummo,1997,https://boxd.it/1H0Y
2022-12-22,Ichi the Killer,2001,https://boxd.it/1Y1O
2022-12-23,Mysterious Skin,2004,https://boxd.it/1UsG
2022-12-23,Samsara,2011,https://boxd.it/3ada
2022-12-23,Magnolia,1999,https://boxd.it/2aze
2022-12-23,Black Mirror: San Junipero,2016,https://boxd.it/k4aS
2022-12-23,HyperNormalisation,2016,https://boxd.it/eOGy
2022-12-23,Ivan's Childhood,1962,https://boxd.it/1j6y
2022-12-23,Out of Sight,1998,https://boxd.it/28R6
2022-12-23,Duck Season,2004,https://boxd.it/1e8O
2022-12-23,Kids,1995,https://boxd.it/1YUY
2022-12-23,Show Me Love,1998,https://boxd.it/1TmW
2022-12-23,Bridesmaids,2011,https://boxd.it/rac
2022-12-23,Sideways,2004,https://boxd.it/1Y5c
2022-12-23,"I, Tonya",2017,https://boxd.it/dzR0
2022-12-23,To Die For,1995,https://boxd.it/2a5o
2022-12-26,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2022-12-26,Six Shooter,2004,https://boxd.it/1wlG
2022-12-27,Sandakan No. 8,1974,https://boxd.it/1RVU
2022-12-28,Babyteeth,2019,https://boxd.it/iWDU
2022-12-28,The Justice of Bunny King,2021,https://boxd.it/srXk
2022-12-28,Jojo Rabbit,2019,https://boxd.it/iEBG
2022-12-29,Emily the Criminal,2022,https://boxd.it/wBOq
2022-12-29,Love,2015,https://boxd.it/9brE
2022-12-30,Sex and Fury,1973,https://boxd.it/1Dgo
2022-12-30,First Cow,2019,https://boxd.it/krga
2022-12-30,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE
2022-12-30,Promising Young Woman,2020,https://boxd.it/loRE
2022-12-30,Picnic at Hanging Rock,1975,https://boxd.it/1UQe
2022-12-30,The Adjuster,1991,https://boxd.it/Yvs
2022-12-30,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw
2022-12-30,Paths of Glory,1957,https://boxd.it/29b6
2022-12-30,mid90s,2018,https://boxd.it/fxIa
2022-12-30,Dogma,1999,https://boxd.it/284e
2022-12-30,A Clockwork Orange,1971,https://boxd.it/2aVE
2022-12-30,Woman in the Dunes,1964,https://boxd.it/1JNS
2022-12-30,You Were Never Really Here,2017,https://boxd.it/dWOS
2022-12-30,Stronger,2017,https://boxd.it/dRqQ
2022-12-30,The Lovers on the Bridge,1991,https://boxd.it/26li
2022-12-30,In Your Eyes,2014,https://boxd.it/6GMs
2022-12-30,Harold and Maude,1971,https://boxd.it/2axM
2022-12-30,Head-On,2004,https://boxd.it/2awk
2022-12-30,Bright Star,2009,https://boxd.it/1mfI
2022-12-30,Keith,2008,https://boxd.it/1NeM
2022-12-30,Casablanca,1942,https://boxd.it/2aG0
2022-12-30,And Then,1985,https://boxd.it/3WES
2022-12-30,Brief Encounter,1945,https://boxd.it/29sm
2022-12-30,Brokeback Mountain,2005,https://boxd.it/2b2q
2022-12-30,Lovers of the Arctic Circle,1998,https://boxd.it/28NS
2022-12-30,The Weeping Meadow,2004,https://boxd.it/177k
2022-12-30,A Story from Chikamatsu,1954,https://boxd.it/1bMw
2022-12-30,Glengarry Glen Ross,1992,https://boxd.it/1Yw8
2022-12-30,You've Got Mail,1998,https://boxd.it/1Yye
2022-12-30,Sleepless in Seattle,1993,https://boxd.it/29re
2022-12-30,7 Boxes,2012,https://boxd.it/4byq
2023-01-01,A Star Is Born,2018,https://boxd.it/aXgc
2023-01-01,In the Bedroom,2001,https://boxd.it/27Fo
2023-01-01,Stoker,2013,https://boxd.it/34S2
2023-01-02,This Place Rules,2022,https://boxd.it/CJGm
2023-01-02,The 400 Blows,1959,https://boxd.it/2b1C
2023-01-04,Wildlife,2018,https://boxd.it/eKYe
2023-01-04,Duel,1971,https://boxd.it/29ui
2023-01-06,Village Rockstars,2017,https://boxd.it/gYRA
2023-01-06,Bulbul Can Sing,2018,https://boxd.it/jP6m
2023-01-10,Paradise Now,2005,https://boxd.it/2bec
2023-01-18,The Wages of Fear,1953,https://boxd.it/2aSK
2023-01-18,Assault on Precinct 13,1976,https://boxd.it/1I2c
2023-01-18,As Tears Go By,1988,https://boxd.it/1ybI
2023-01-18,Body Double,1984,https://boxd.it/1TGW
2023-01-18,Carrie,1976,https://boxd.it/20ZQ
2023-01-18,Spielberg,2017,https://boxd.it/gIXC
2023-01-19,Of an Age,2022,https://boxd.it/AbOM
2023-01-20,"BARDO, False Chronicle of a Handful of Truths",2022,https://boxd.it/pAgy
2023-01-20,Mukundan Unni Associates™,2022,https://boxd.it/xcWQ
2023-01-24,The Swimmers,2022,https://boxd.it/uXMi
